iso3c,country,year,gdp_growth
KAZ,Kazakhstan,2008,3.30
KAZ,Kazakhstan,2009,1.20
KAZ,Kazakhstan,2010,7.30
KAZ,Kazakhstan,2011,7.40
KAZ,Kazakhstan,2012,4.80
KAZ,Kazakhstan,2013,6.00
KAZ,Kazakhstan,2014,4.20
KAZ,Kazakhstan,2015,1.20
KAZ,Kazakhstan,2016,1.10
KAZ,Kazakhstan,2017,4.10
KAZ,Kazakhstan,2018,4.10
KAZ,Kazakhstan,2019,4.50
KAZ,Kazakhstan,2020,-2.50
KAZ,Kazakhstan,2021,4.30
KAZ,Kazakhstan,2022,3.20
KAZ,Kazakhstan,2023,5.10
KAZ,Kazakhstan,2024,5.00
KGZ,Kyrgyz Republic,2008,8.40
KGZ,Kyrgyz Republic,2009,2.89
KGZ,Kyrgyz Republic,2010,-0.47
KGZ,Kyrgyz Republic,2011,5.96
KGZ,Kyrgyz Republic,2012,-0.09
KGZ,Kyrgyz Republic,2013,10.92
KGZ,Kyrgyz Republic,2014,4.02
KGZ,Kyrgyz Republic,2015,3.88
KGZ,Kyrgyz Republic,2016,4.34
KGZ,Kyrgyz Republic,2017,4.74
KGZ,Kyrgyz Republic,2018,3.76
KGZ,Kyrgyz Republic,2019,4.60
KGZ,Kyrgyz Republic,2020,-7.15
KGZ,Kyrgyz Republic,2021,5.51
KGZ,Kyrgyz Republic,2022,8.97
KGZ,Kyrgyz Republic,2023,9.01
KGZ,Kyrgyz Republic,2024,9.04
RUS,Russian Federation,2008,5.20
RUS,Russian Federation,2009,-7.80
RUS,Russian Federation,2010,4.50
RUS,Russian Federation,2011,4.30
RUS,Russian Federation,2012,4.02
RUS,Russian Federation,2013,1.76
RUS,Russian Federation,2014,0.74
RUS,Russian Federation,2015,-1.97
RUS,Russian Federation,2016,0.19
RUS,Russian Federation,2017,1.83
RUS,Russian Federation,2018,2.81
RUS,Russian Federation,2019,2.20
RUS,Russian Federation,2020,-2.65
RUS,Russian Federation,2021,5.87
RUS,Russian Federation,2022,-1.44
RUS,Russian Federation,2023,4.08
RUS,Russian Federation,2024,4.34
TJK,Tajikistan,2008,7.90
TJK,Tajikistan,2009,3.90
TJK,Tajikistan,2010,6.50
TJK,Tajikistan,2011,7.40
TJK,Tajikistan,2012,7.50
TJK,Tajikistan,2013,7.40
TJK,Tajikistan,2014,6.70
TJK,Tajikistan,2015,6.02
TJK,Tajikistan,2016,6.90
TJK,Tajikistan,2017,7.10
TJK,Tajikistan,2018,7.60
TJK,Tajikistan,2019,7.40
TJK,Tajikistan,2020,4.40
TJK,Tajikistan,2021,9.40
TJK,Tajikistan,2022,8.00
TJK,Tajikistan,2023,8.30
TJK,Tajikistan,2024,8.40
UZB,Uzbekistan,2008,9.03
UZB,Uzbekistan,2009,8.05
UZB,Uzbekistan,2010,7.60
UZB,Uzbekistan,2011,7.53
UZB,Uzbekistan,2012,7.10
UZB,Uzbekistan,2013,7.30
UZB,Uzbekistan,2014,6.87
UZB,Uzbekistan,2015,7.22
UZB,Uzbekistan,2016,5.93
UZB,Uzbekistan,2017,4.40
UZB,Uzbekistan,2018,5.56
UZB,Uzbekistan,2019,6.78
UZB,Uzbekistan,2020,1.56
UZB,Uzbekistan,2021,8.03
UZB,Uzbekistan,2022,6.00
UZB,Uzbekistan,2023,6.29
UZB,Uzbekistan,2024,6.50
