iso3c,country,year,inflation
KAZ,Kazakhstan,2008,17.14
KAZ,Kazakhstan,2009,7.32
KAZ,Kazakhstan,2010,7.40
KAZ,Kazakhstan,2011,8.45
KAZ,Kazakhstan,2012,5.20
KAZ,Kazakhstan,2013,5.94
KAZ,Kazakhstan,2014,6.85
KAZ,Kazakhstan,2015,6.68
KAZ,Kazakhstan,2016,14.36
KAZ,Kazakhstan,2017,7.44
KAZ,Kazakhstan,2018,6.16
KAZ,Kazakhstan,2019,5.33
KAZ,Kazakhstan,2020,6.72
KAZ,Kazakhstan,2021,8.04
KAZ,Kazakhstan,2022,15.03
KAZ,Kazakhstan,2023,14.53
KAZ,Kazakhstan,2024,8.69
KGZ,Kyrgyz Republic,2008,24.52
KGZ,Kyrgyz Republic,2009,6.84
KGZ,Kyrgyz Republic,2010,7.97
KGZ,Kyrgyz Republic,2011,16.64
KGZ,Kyrgyz Republic,2012,2.77
KGZ,Kyrgyz Republic,2013,6.61
KGZ,Kyrgyz Republic,2014,7.53
KGZ,Kyrgyz Republic,2015,6.50
KGZ,Kyrgyz Republic,2016,0.39
KGZ,Kyrgyz Republic,2017,3.18
KGZ,Kyrgyz Republic,2018,1.54
KGZ,Kyrgyz Republic,2019,1.13
KGZ,Kyrgyz Republic,2020,6.33
KGZ,Kyrgyz Republic,2021,11.91
KGZ,Kyrgyz Republic,2022,13.92
KGZ,Kyrgyz Republic,2023,10.75
KGZ,Kyrgyz Republic,2024,5.00
RUS,Russian Federation,2008,14.11
RUS,Russian Federation,2009,11.65
RUS,Russian Federation,2010,6.85
RUS,Russian Federation,2011,8.44
RUS,Russian Federation,2012,5.07
RUS,Russian Federation,2013,6.75
RUS,Russian Federation,2014,7.82
RUS,Russian Federation,2015,15.53
RUS,Russian Federation,2016,7.04
RUS,Russian Federation,2017,3.68
RUS,Russian Federation,2018,2.88
RUS,Russian Federation,2019,4.47
RUS,Russian Federation,2020,3.38
RUS,Russian Federation,2021,6.69
RUS,Russian Federation,2022,13.74
RUS,Russian Federation,2023,5.87
RUS,Russian Federation,2024,8.43
TJK,Tajikistan,2008,20.47
TJK,Tajikistan,2009,6.45
TJK,Tajikistan,2010,6.45
TJK,Tajikistan,2011,12.43
TJK,Tajikistan,2012,5.83
TJK,Tajikistan,2013,5.01
TJK,Tajikistan,2014,6.10
TJK,Tajikistan,2015,5.71
TJK,Tajikistan,2016,6.00
UZB,Uzbekistan,2011,13.78
UZB,Uzbekistan,2012,13.21
UZB,Uzbekistan,2013,11.84
UZB,Uzbekistan,2014,9.28
UZB,Uzbekistan,2015,8.75
UZB,Uzbekistan,2016,8.13
UZB,Uzbekistan,2017,13.88
UZB,Uzbekistan,2018,17.52
UZB,Uzbekistan,2019,14.53
UZB,Uzbekistan,2020,12.87
UZB,Uzbekistan,2021,10.85
UZB,Uzbekistan,2022,11.45
UZB,Uzbekistan,2023,9.96
UZB,Uzbekistan,2024,9.63
