iso3c,country,year,remit_gdp
KAZ,Kazakhstan,2008,0.09
KAZ,Kazakhstan,2009,0.17
KAZ,Kazakhstan,2010,0.15
KAZ,Kazakhstan,2011,0.09
KAZ,Kazakhstan,2012,0.14
KAZ,Kazakhstan,2013,0.14
KAZ,Kazakhstan,2014,0.18
KAZ,Kazakhstan,2015,0.16
KAZ,Kazakhstan,2016,0.28
KAZ,Kazakhstan,2017,0.34
KAZ,Kazakhstan,2018,0.34
KAZ,Kazakhstan,2019,0.28
KAZ,Kazakhstan,2020,0.22
KAZ,Kazakhstan,2021,0.16
KAZ,Kazakhstan,2022,0.21
KAZ,Kazakhstan,2023,0.12
KAZ,Kazakhstan,2024,0.08
KGZ,Kyrgyz Republic,2008,23.80
KGZ,Kyrgyz Republic,2009,20.94
KGZ,Kyrgyz Republic,2010,26.41
KGZ,Kyrgyz Republic,2011,27.57
KGZ,Kyrgyz Republic,2012,30.75
KGZ,Kyrgyz Republic,2013,31.06
KGZ,Kyrgyz Republic,2014,30.03
KGZ,Kyrgyz Republic,2015,25.27
KGZ,Kyrgyz Republic,2016,29.28
KGZ,Kyrgyz Republic,2017,32.27
KGZ,Kyrgyz Republic,2018,32.51
KGZ,Kyrgyz Republic,2019,28.79
KGZ,Kyrgyz Republic,2020,31.81
KGZ,Kyrgyz Republic,2021,32.56
KGZ,Kyrgyz Republic,2022,26.58
TJK,Tajikistan,2008,44.13
TJK,Tajikistan,2009,31.44
TJK,Tajikistan,2010,35.81
TJK,Tajikistan,2011,41.74
TJK,Tajikistan,2012,42.22
TJK,Tajikistan,2013,43.77
TJK,Tajikistan,2014,37.14
TJK,Tajikistan,2015,27.31
TJK,Tajikistan,2016,26.71
TJK,Tajikistan,2017,29.68
TJK,Tajikistan,2018,28.12
TJK,Tajikistan,2019,27.97
TJK,Tajikistan,2020,26.88
TJK,Tajikistan,2021,32.69
TJK,Tajikistan,2022,49.90
TJK,Tajikistan,2023,37.84
TJK,Tajikistan,2024,47.89
UZB,Uzbekistan,2008,12.28
UZB,Uzbekistan,2009,6.47
UZB,Uzbekistan,2010,6.90
UZB,Uzbekistan,2011,8.15
UZB,Uzbekistan,2012,9.02
UZB,Uzbekistan,2013,8.80
UZB,Uzbekistan,2014,8.43
UZB,Uzbekistan,2015,5.62
UZB,Uzbekistan,2016,6.73
UZB,Uzbekistan,2017,10.23
UZB,Uzbekistan,2018,12.96
UZB,Uzbekistan,2019,12.70
UZB,Uzbekistan,2020,10.66
UZB,Uzbekistan,2021,11.99
UZB,Uzbekistan,2022,17.22
UZB,Uzbekistan,2023,13.80
UZB,Uzbekistan,2024,14.42
